domain,polarity
airspacemag.com,Pro-Science
aap.org,Pro-Science
aaas.org,Pro-Science
sites.agu.org,Pro-Science
ajaonline.org,Pro-Science
aps.org,Pro-Science
apsa.org,Pro-Science
apa.org,Pro-Science
americanscientist.org,Pro-Science
adaa.org,Pro-Science
archaeology.org,Pro-Science
astronomy.com,Pro-Science
skeptics.com.au,Pro-Science
autisticadvocacy.org,Pro-Science
biomedcentral.com,Pro-Science
bio.org,Pro-Science
cdc.gov,Pro-Science
climateactiontracker.org,Pro-Science
climatecentral.org,Pro-Science
climatefeedback.org,Pro-Science
climatesciencewatch.org,Pro-Science
cochrane.org,Pro-Science
csicop.org,Pro-Science
consumerlab.com,Pro-Science
contrailscience.com,Pro-Science
cosmosmagazine.com,Pro-Science
discovermagazine.com,Pro-Science
doubtfulnews.com,Pro-Science
earthsky.org,Pro-Science
earthmagazine.org,Pro-Science
edge.org,Pro-Science
britannica.com,Pro-Science
eurekalert.org,Pro-Science
everydayhealth.com,Pro-Science
examine.com,Pro-Science
fas.org,Pro-Science
frontiersin.org,Pro-Science
journal.frontiersin.org,Pro-Science
futurism.com,Pro-Science
genengnews.com,Pro-Science
geneticliteracyproject.org,Pro-Science
healio.com,Pro-Science
healthfeedback.org,Pro-Science
healthline.com,Pro-Science
howstuffworks.com,Pro-Science
insidescience.org,Pro-Science
healthdata.org,Pro-Science
iop.org,Pro-Science
irena.org,Pro-Science
issues.org,Pro-Science
web.randi.org,Pro-Science
hopkinsmedicine.org,Pro-Science
jstor.org,Pro-Science
livescience.com,Pro-Science
mayoclinic.org,Pro-Science
medicaldaily.com,Pro-Science
medicalnewstoday.com,Pro-Science
medicalxpress.com,Pro-Science
medscape.com,Pro-Science
mentaldaily.com,Pro-Science
technologyreview.com,Pro-Science
mosaicscience.com,Pro-Science
nasa.gov,Pro-Science
nationalacademyofsciences.org,Pro-Science
ncdc.noaa.gov,Pro-Science
nationalgeographic.com,Pro-Science
nih.gov,Pro-Science
noaa.gov,Pro-Science
nature.com,Pro-Science
nautil.us,Pro-Science
neurosciencenews.com,Pro-Science
newatlas.com,Pro-Science
theness.com,Pro-Science
newhumanist.org.uk,Pro-Science
newscientist.com,Pro-Science
nextbigfuture.com,Pro-Science
nextobserver.com,Pro-Science
oceana.org,Pro-Science
paho.org,Pro-Science
phys.org,Pro-Science
ispp.org,Pro-Science
popularmechanics.com,Pro-Science
popsci.com,Pro-Science
pnas.org,Pro-Science
psychcentral.com,Pro-Science
psychologytoday.com,Pro-Science
psypost.org,Pro-Science
plos.org,Pro-Science
ncbi.nlm.nih.gov,Pro-Science
quackwatch.org,Pro-Science
quantamagazine.org,Pro-Science
realclearscience.com,Pro-Science
realclimate.org,Pro-Science
realmofhistory.com,Pro-Science
redorbit.com,Pro-Science
researchgate.net,Pro-Science
resourcewatch.org,Pro-Science
retractionwatch.com,Pro-Science
scicentral.com,Pro-Science
sciencebasedmedicine.org,Pro-Science
scienceblogs.com,Pro-Science
sciencedaily.com,Pro-Science
sciencefeedback.co,Pro-Science
sciencehistory.org,Pro-Science
scienceillustrated.com.au,Pro-Science
sciencemag.org,Pro-Science
sciencemediacentre.org,Pro-Science
sciencenews.org,Pro-Science
sciencetrends.com,Pro-Science
sciencealert.com,Pro-Science
scientificamerican.com,Pro-Science
scripps.ucsd.edu,Pro-Science
seeker.com,Pro-Science
singularityhub.com,Pro-Science
skeptic.com,Pro-Science
skepticalraptor.com,Pro-Science
skepticalscience.com,Pro-Science
skepticink.com,Pro-Science
skeptoid.com,Pro-Science
skyandtelescope.com,Pro-Science
smithsonianmag.com,Pro-Science
societyforscience.org,Pro-Science
space.com,Pro-Science
techxplore.com,Pro-Science
aip.org,Pro-Science
bmj.com,Pro-Science
thelancet.com,Pro-Science
the-scientist.com,Pro-Science
skepdic.com,Pro-Science
watchers.news,Pro-Science
understandrealitythroughscience.blogspot.com,Pro-Science
unenvironment.org,Pro-Science
universetoday.com,Pro-Science
science.energy.gov,Pro-Science
vaxopedia,Pro-Science
verywell.com,Pro-Science
webmd.com,Pro-Science
whatstheharm.net,Pro-Science
who.int,Pro-Science
public.wmo.int,Pro-Science
zmescience.com,Pro-Science
www.tamu.edu,Pro-Science
www.wired.com,Pro-Science
www.umn.edu,Pro-Science
www.medrxiv.org,Pro-Science
www.bbc.co.uk,Pro-Science
www.bbc.com,Pro-Science
www.arcgis.com,Pro-Science
www.arstechnica.com,Pro-Science
www.theguardian.com,Pro-Science
